mun_code,mun_name,year,gross_income_pc,wage,pension,unemp_benefit,other_benefits,other_income
02035,"Gineta, La",2018,11319,6859,2056,329,462,1614
02035,"Gineta, La",2017,10765,6680,2041,311,345,1388
02035,"Gineta, La",2016,10164,6211,2074,372,338,1168
02035,"Gineta, La",2015,10061,6039,2012,394,353,1263
02036,Golosalvo,2022,NA,NA,NA,NA,NA,NA
02036,Golosalvo,2021,13926,NA,NA,NA,NA,NA
02036,Golosalvo,2020,13573,NA,NA,NA,NA,NA
02036,Golosalvo,2019,NA,NA,NA,NA,NA,NA
02036,Golosalvo,2018,10531,3381,4421,453,367,1909
02036,Golosalvo,2017,8865,2861,3873,439,517,1175
02036,Golosalvo,2016,8813,2693,3740,386,515,1478
02036,Golosalvo,2015,8651,3443,3596,205,555,852
02037,Hellín,2022,11921,7183,2412,453,724,1149
02037,Hellín,2021,11208,6658,2245,550,672,1082
02037,Hellín,2020,10637,6153,2185,681,646,972
02037,Hellín,2019,10350,6191,2131,397,586,1045
02037,Hellín,2018,9790,5790,2037,389,550,1024
02037,Hellín,2017,9404,5583,1995,359,495,972
02037,Hellín,2016,8972,5183,1971,357,459,1001
02037,Hellín,2015,8629,4834,1981,400,470,945
02038,"Herrera, La",2022,14257,8025,2224,398,521,3089
02038,"Herrera, La",2021,13875,7530,2155,466,383,3341
02038,"Herrera, La",2020,12491,7100,2165,447,460,2318
02038,"Herrera, La",2019,12122,6806,2190,367,348,2411
02038,"Herrera, La",2018,11758,6394,2102,418,376,2469
02038,"Herrera, La",2017,10720,5746,2235,349,288,2102
02038,"Herrera, La",2016,10650,6142,2079,331,259,1839
02038,"Herrera, La",2015,11063,6252,2108,278,193,2232
02039,Higueruela,2022,14236,8125,3289,329,688,1805
02039,Higueruela,2021,13018,7302,2951,433,634,1697
02039,Higueruela,2020,12502,6739,2893,478,568,1824
02039,Higueruela,2019,11796,6350,2858,255,533,1800
02039,Higueruela,2018,11184,5909,2726,244,484,1822
02039,Higueruela,2017,10660,5667,2704,223,471,1595
02039,Higueruela,2016,10345,5515,2563,279,424,1563
02039,Higueruela,2015,9826,5135,2461,249,416,1566
02040,Hoya-Gonzalo,2022,15059,9000,3693,301,697,1369
02040,Hoya-Gonzalo,2021,14850,8314,3737,462,722,1615
02040,Hoya-Gonzalo,2020,13866,7880,3386,559,616,1425
02040,Hoya-Gonzalo,2019,13277,7704,3320,364,682,1207
02040,Hoya-Gonzalo,2018,12587,7067,3345,319,619,1237
02040,Hoya-Gonzalo,2017,11685,6642,3109,267,568,1100
02040,Hoya-Gonzalo,2016,11263,6312,2893,293,507,1258
02040,Hoya-Gonzalo,2015,10935,6201,2889,329,564,953
02041,Jorquera,2022,13438,5559,4359,443,447,2630
02041,Jorquera,2021,12585,4710,4249,560,509,2557
02041,Jorquera,2020,10351,4400,4117,531,439,865
02041,Jorquera,2019,11070,4463,4230,375,407,1595
02041,Jorquera,2018,9795,4328,3864,349,439,815
02041,Jorquera,2017,9098,3991,3664,331,422,689
02041,Jorquera,2016,9146,4014,3586,378,388,780
02041,Jorquera,2015,9577,4161,3816,436,343,821
02042,Letur,2022,12807,6563,3578,504,832,1330
02042,Letur,2021,12305,5909,3357,491,852,1696
02042,Letur,2020,11769,5461,3236,587,802,1683
02042,Letur,2019,11113,5136,3189,473,736,1579
02042,Letur,2018,10147,4491,3070,444,735,1406
02042,Letur,2017,9388,4177,2909,419,672,1210
02042,Letur,2016,9219,3914,2998,453,611,1244
02042,Letur,2015,9067,3842,2927,491,639,1167
02043,Lezuza,2022,12791,6635,2814,397,530,2415
02043,Lezuza,2021,12098,6015,2531,438,502,2612
02043,Lezuza,2020,11551,5638,2396,466,419,2632
02043,Lezuza,2019,11150,5433,2527,350,437,2404
02043,Lezuza,2018,10226,4919,2455,313,376,2163
02043,Lezuza,2017,9533,4256,2673,294,338,1972
02043,Lezuza,2016,9037,3877,2547,335,329,1949
02043,Lezuza,2015,8857,3692,2684,311,330,1840
02044,Liétor,2022,12534,5865,4326,550,854,940
02044,Liétor,2021,11346,5211,3869,624,660,982
02044,Liétor,2020,11053,5058,3987,702,544,761
02044,Liétor,2019,10262,4860,3661,410,544,787
02044,Liétor,2018,9874,4616,3534,403,460,861
02044,Liétor,2017,9324,4345,3293,377,439,871
02044,Liétor,2016,8772,3545,3348,546,426,905
02044,Liétor,2015,8906,3727,3154,559,446,1021
02045,Madrigueras,2022,13747,8258,2857,358,509,1765
02045,Madrigueras,2021,12935,7952,2654,420,477,1433
02045,Madrigueras,2020,12383,7326,2616,573,456,1412
02045,Madrigueras,2019,12143,7319,2507,283,435,1600
02045,Madrigueras,2018,11369,6732,2458,287,417,1476
02045,Madrigueras,2017,10862,6482,2385,302,347,1346
02045,Madrigueras,2016,10467,6085,2347,300,319,1416
02045,Madrigueras,2015,10097,5888,2300,343,318,1247
02046,Mahora,2022,12429,7384,2865,344,528,1308
02046,Mahora,2021,11362,6803,2529,381,502,1148
02046,Mahora,2020,11256,6588,2523,559,517,1068
02046,Mahora,2019,11030,6614,2461,362,455,1138
02046,Mahora,2018,10498,6202,2374,363,389,1171
02046,Mahora,2017,9798,5980,2167,357,318,976
02046,Mahora,2016,9342,5538,2196,350,274,983
02046,Mahora,2015,9140,5298,2204,382,304,953
02047,Masegoso,2022,19961,9183,5930,301,572,3975
02047,Masegoso,2021,18974,7927,6500,476,571,3500
02047,Masegoso,2020,20129,8513,6736,557,523,3801
02047,Masegoso,2019,17264,6043,6435,405,720,3661
02047,Masegoso,2018,15544,5389,5754,309,691,3401
02047,Masegoso,2017,14571,5255,5548,235,670,2864
02047,Masegoso,2016,15221,4679,6232,278,608,3425
02047,Masegoso,2015,14235,4229,6050,296,613,3046
02048,Minaya,2022,12175,6474,3202,367,572,1560
02048,Minaya,2021,11463,5928,2892,405,561,1678
02048,Minaya,2020,10824,5561,2736,541,518,1468
02048,Minaya,2019,10426,5592,2591,244,510,1488
02048,Minaya,2018,9771,5278,2415,302,437,1339
02048,Minaya,2017,9393,5115,2287,290,412,1289
02048,Minaya,2016,8867,4797,2277,284,396,1114
02048,Minaya,2015,9135,4664,2431,335,423,1283
02049,Molinicos,2022,13433,6298,4645,513,675,1301
02049,Molinicos,2021,12713,5840,4335,696,619,1222
02049,Molinicos,2020,11732,5284,4201,647,600,999
02049,Molinicos,2019,11192,5047,4055,444,590,1056
02049,Molinicos,2018,10683,4606,3884,412,603,1179
02049,Molinicos,2017,9974,4172,4009,392,499,903
02049,Molinicos,2016,9617,3690,3917,398,709,902
02049,Molinicos,2015,8963,3198,3863,389,553,961
02050,Montalvos,2022,NA,NA,NA,NA,NA,NA
02050,Montalvos,2021,13926,NA,NA,NA,NA,NA
02050,Montalvos,2020,13573,NA,NA,NA,NA,NA
02050,Montalvos,2019,NA,NA,NA,NA,NA,NA
02050,Montalvos,2018,NA,NA,NA,NA,NA,NA
02050,Montalvos,2017,NA,NA,NA,NA,NA,NA
02050,Montalvos,2016,15091,9218,3891,342,168,1471
02050,Montalvos,2015,16320,10477,3725,301,214,1602
02051,Montealegre del Castillo,2022,12141,6257,2515,305,640,2424
02051,Montealegre del Castillo,2021,11737,5995,2385,378,542,2437
02051,Montealegre del Castillo,2020,10925,5415,2288,685,495,2042
02051,Montealegre del Castillo,2019,10682,5656,2298,222,476,2030
02051,Montealegre del Castillo,2018,11205,5382,2299,214,393,2918
02051,Montealegre del Castillo,2017,10036,5040,2237,237,333,2190
02051,Montealegre del Castillo,2016,9674,4926,2237,229,284,2000
02051,Montealegre del Castillo,2015,9155,4603,2202,245,312,1793
02052,Motilleja,2022,13037,7776,3025,421,747,1067
02052,Motilleja,2021,12131,7218,2738,495,701,978
02052,Motilleja,2020,11718,6545,2675,598,742,1156
02052,Motilleja,2019,11507,6460,2826,291,678,1252
02052,Motilleja,2018,11053,6106,2893,298,566,1189
02052,Motilleja,2017,10325,5392,2903,299,549,1182
02052,Motilleja,2016,9887,5043,2797,253,521,1274
02052,Motilleja,2015,9387,4531,2889,384,506,1077
02053,Munera,2022,11317,6581,2567,442,545,1181
02053,Munera,2021,10843,6187,2403,450,530,1273
02053,Munera,2020,10310,5746,2384,616,457,1106
02053,Munera,2019,9926,5777,2313,272,446,1118
02053,Munera,2018,9288,5122,2294,272,420,1179
02053,Munera,2017,8812,4759,2188,255,369,1241
02053,Munera,2016,8228,4363,2133,304,331,1097
02053,Munera,2015,7817,3992,2166,309,331,1017
02054,Navas de Jorquera,2022,12065,6966,2871,343,802,1084
02054,Navas de Jorquera,2021,11830,6740,2784,315,730,1261
02054,Navas de Jorquera,2020,11311,6257,2669,399,621,1366
02054,Navas de Jorquera,2019,11040,6182,2492,339,569,1457
02054,Navas de Jorquera,2018,9800,5349,2465,303,521,1162
02054,Navas de Jorquera,2017,9219,4979,2389,353,459,1039
02054,Navas de Jorquera,2016,8995,4625,2321,403,398,1247
02054,Navas de Jorquera,2015,8620,4300,2401,353,499,1068
02055,Nerpio,2022,11906,5835,3318,411,769,1573
02055,Nerpio,2021,10278,4913,3045,669,689,962
02055,Nerpio,2020,10708,4625,2986,722,659,1716
02055,Nerpio,2019,9705,4655,2901,383,642,1124
02055,Nerpio,2018,9122,4111,2868,389,573,1181
02055,Nerpio,2017,8547,3971,2829,359,477,912
02055,Nerpio,2016,7884,3327,2826,359,527,844
02055,Nerpio,2015,7710,3177,2837,418,518,759
02056,Ontur,2022,11171,4983,3412,379,897,1500
02056,Ontur,2021,10536,4767,3226,393,789,1362
02056,Ontur,2020,10026,4523,3152,490,760,1101
02056,Ontur,2019,9903,4389,3142,319,740,1313
02056,Ontur,2018,9707,3981,2968,273,734,1751
02056,Ontur,2017,8798,3656,2878,268,660,1336
02056,Ontur,2016,8418,3372,2874,247,621,1304
02056,Ontur,2015,7990,3079,2877,253,664,1117
02057,Ossa de Montiel,2022,12764,7442,2967,443,659,1254
02057,Ossa de Montiel,2021,11958,6879,2733,606,593,1146
02057,Ossa de Montiel,2020,11177,6400,2661,721,527,869
02057,Ossa de Montiel,2019,10819,6284,2652,388,528,967
02057,Ossa de Montiel,2018,9895,5655,2534,346,474,887
02057,Ossa de Montiel,2017,9310,5121,2432,376,451,929
02057,Ossa de Montiel,2016,8787,4792,2433,389,390,783
02057,Ossa de Montiel,2015,8281,4377,2390,403,388,722
02058,Paterna del Madera,2022,12939,6159,4622,447,939,771
02058,Paterna del Madera,2021,12207,6139,4040,493,913,622
02058,Paterna del Madera,2020,11362,5400,3946,682,846,488
02058,Paterna del Madera,2019,11591,5502,3856,413,1019,802
02058,Paterna del Madera,2018,10624,5295,3602,383,776,567
02058,Paterna del Madera,2017,9981,5000,3437,334,641,568
02058,Paterna del Madera,2016,9788,4288,3677,407,630,785
02058,Paterna del Madera,2015,9141,3857,3502,560,601,620
02059,Peñascosa,2022,14325,7762,4178,414,776,1195
02059,Peñascosa,2021,13991,7689,3847,467,793,1195
02059,Peñascosa,2020,13465,7749,3752,449,659,856
02059,Peñascosa,2019,13099,7078,3919,379,529,1193
02059,Peñascosa,2018,12613,6598,3872,316,548,1279
02059,Peñascosa,2017,11511,5916,3585,243,467,1300
02059,Peñascosa,2016,11587,5744,3560,361,548,1374
02059,Peñascosa,2015,10977,5004,3662,500,552,1258
02060,Peñas de San Pedro,2022,17876,10338,3978,354,599,2607
02060,Peñas de San Pedro,2021,16392,9806,3668,489,502,1926
02060,Peñas de San Pedro,2020,16159,8856,3720,711,513,2358
02060,Peñas de San Pedro,2019,15491,8567,3708,366,513,2337
02060,Peñas de San Pedro,2018,14718,8312,3725,374,442,1866
02060,Peñas de San Pedro,2017,13222,7721,3359,364,418,1360
