mun_code,mun_name,district_code,year,gross_income_pc,wage,pension,unemp_benefit,other_benefits,other_income
02011,Ayna,0201101,2019,13357,6092,4997,333,640,1294
02011,Ayna,0201101,2018,12596,5662,4716,302,639,1278
02011,Ayna,0201101,2017,12054,5415,4732,236,600,1071
02011,Ayna,0201101,2016,11417,4835,4638,292,539,1113
02011,Ayna,0201101,2015,11354,4668,4701,302,511,1172
02012,Balazote,0201201,2022,13181,7324,2022,400,585,2849
02012,Balazote,0201201,2021,12079,6909,1828,469,566,2307
02012,Balazote,0201201,2020,12459,6284,1853,629,524,3169
02012,Balazote,0201201,2019,12733,7713,1856,356,506,2301
02012,Balazote,0201201,2018,10182,5813,1787,381,470,1732
02012,Balazote,0201201,2017,10878,5516,1824,363,419,2756
02012,Balazote,0201201,2016,9787,4816,1789,370,408,2404
02012,Balazote,0201201,2015,9014,4437,1867,425,420,1865
02013,Balsa de Ves,0201301,2022,16246,6302,6565,230,886,2263
02013,Balsa de Ves,0201301,2021,15609,6091,5538,571,851,2558
02013,Balsa de Ves,0201301,2020,14414,6153,4821,554,881,2006
02013,Balsa de Ves,0201301,2019,13686,5119,5134,317,822,2294
02013,Balsa de Ves,0201301,2018,13567,6059,5480,231,565,1233
02013,Balsa de Ves,0201301,2017,10289,3794,4795,222,470,1008
02013,Balsa de Ves,0201301,2016,10775,3912,5085,150,400,1228
02013,Balsa de Ves,0201301,2015,10279,3509,5152,194,332,1093
02014,"Ballestero, El",0201401,2022,13701,7480,3704,307,641,1568
02014,"Ballestero, El",0201401,2021,13383,6893,3372,381,721,2015
02014,"Ballestero, El",0201401,2020,12748,6644,3318,367,704,1715
02014,"Ballestero, El",0201401,2019,12819,6601,3378,167,632,2041
02014,"Ballestero, El",0201401,2018,11606,6003,3228,172,606,1597
02014,"Ballestero, El",0201401,2017,10640,5298,3081,191,582,1487
02014,"Ballestero, El",0201401,2016,9979,4920,2879,226,559,1395
02014,"Ballestero, El",0201401,2015,9671,4700,2948,226,624,1174
02015,Barrax,0201501,2022,12168,7273,1958,494,652,1791
02015,Barrax,0201501,2021,11508,6780,1765,506,653,1805
02015,Barrax,0201501,2020,10914,6226,1848,720,635,1485
02015,Barrax,0201501,2019,10469,6222,1724,444,593,1485
02015,Barrax,0201501,2018,9871,5775,1663,383,549,1502
02015,Barrax,0201501,2017,9235,5405,1589,320,527,1394
02015,Barrax,0201501,2016,8869,4782,1747,392,496,1452
02015,Barrax,0201501,2015,8259,4361,1631,400,504,1363
02016,Bienservida,0201601,2022,12322,5783,3885,585,704,1365
02016,Bienservida,0201601,2021,11755,5348,3648,678,642,1439
02016,Bienservida,0201601,2020,10247,4418,3223,926,638,1043
02016,Bienservida,0201601,2019,10631,5221,3175,459,634,1142
02016,Bienservida,0201601,2018,9930,4824,3001,465,569,1070
02016,Bienservida,0201601,2017,9895,4458,2924,461,564,1488
02016,Bienservida,0201601,2016,9177,4174,2924,415,513,1151
02016,Bienservida,0201601,2015,8869,3999,2904,387,529,1050
02017,Bogarra,0201701,2022,11750,4693,4990,320,795,954
02017,Bogarra,0201701,2021,10985,4127,4740,384,768,966
02017,Bogarra,0201701,2020,10156,3796,4677,396,697,589
02017,Bogarra,0201701,2019,9939,3432,4652,279,710,866
02017,Bogarra,0201701,2018,8983,2885,4501,274,641,683
02017,Bogarra,0201701,2017,8823,2947,4331,252,609,684
02017,Bogarra,0201701,2016,8242,2632,4154,290,557,610
02017,Bogarra,0201701,2015,7913,2272,4079,353,545,664
02018,Bonete,0201801,2022,14175,7520,3665,488,526,1976
02018,Bonete,0201801,2021,13012,6867,3364,644,532,1605
02018,Bonete,0201801,2020,11560,5997,2983,924,499,1157
02018,Bonete,0201801,2019,11187,6313,2877,332,490,1176
02018,Bonete,0201801,2018,11037,6168,2832,352,439,1246
02018,Bonete,0201801,2017,10179,5654,2708,403,360,1054
02018,Bonete,0201801,2016,9521,5233,2674,384,298,933
02018,Bonete,0201801,2015,9440,5169,2588,359,257,1067
02019,"Bonillo, El",0201901,2022,13301,7650,2689,372,662,1928
02019,"Bonillo, El",0201901,2021,12416,7005,2560,421,590,1840
02019,"Bonillo, El",0201901,2020,11597,6318,2494,592,540,1653
02019,"Bonillo, El",0201901,2019,10906,6155,2417,369,542,1424
02019,"Bonillo, El",0201901,2018,10458,5783,2284,349,510,1533
02019,"Bonillo, El",0201901,2017,9574,5347,2228,349,443,1208
02019,"Bonillo, El",0201901,2016,9130,4905,2196,407,373,1248
02019,"Bonillo, El",0201901,2015,8770,4561,2207,438,351,1214
02020,Carcelén,0202001,2022,12342,5656,4778,374,593,942
02020,Carcelén,0202001,2021,11118,4815,4429,439,511,924
02020,Carcelén,0202001,2020,11013,4625,4402,532,546,907
02020,Carcelén,0202001,2019,10805,4514,4309,335,569,1077
02020,Carcelén,0202001,2018,10781,4452,4405,276,429,1219
02020,Carcelén,0202001,2017,9728,4108,3972,242,423,982
02020,Carcelén,0202001,2016,9363,4039,3679,286,458,901
02020,Carcelén,0202001,2015,9240,3809,3697,351,490,893
02021,Casas de Juan Núñez,0202101,2022,12439,7514,2470,402,623,1430
02021,Casas de Juan Núñez,0202101,2021,11794,6685,2346,623,619,1521
02021,Casas de Juan Núñez,0202101,2020,11447,6400,2369,704,547,1427
02021,Casas de Juan Núñez,0202101,2019,11135,6516,2373,370,551,1325
02021,Casas de Juan Núñez,0202101,2018,10413,6124,2263,292,540,1194
02021,Casas de Juan Núñez,0202101,2017,9825,5627,2192,315,473,1218
02021,Casas de Juan Núñez,0202101,2016,9360,5210,2190,336,377,1246
02021,Casas de Juan Núñez,0202101,2015,8926,4892,2221,333,448,1032
02022,Casas de Lázaro,0202201,2022,16040,7607,5350,457,817,1809
02022,Casas de Lázaro,0202201,2021,14465,6511,4702,518,944,1790
02022,Casas de Lázaro,0202201,2020,13098,5572,4407,656,979,1485
