mun_code,mun_name,district_code,year,mean_age,pct_under18,pct_over65,mean_hh_size,pct_single_hh,population,pct_spanish
02009,Almansa,0200903,2016,41.8,18,15.8,2.7,23.6,12744,96.1
02009,Almansa,0200903,2015,41.2,18.4,15.3,2.7,23.7,12932,95.9
02009,Almansa,0200904,2022,44.9,16.6,21.3,2.4,29.7,4836,93.7
02009,Almansa,0200904,2021,45.1,16,21.5,2.4,29.6,4785,95
02009,Almansa,0200904,2020,44.8,16.2,21.6,2.4,29.6,4777,95.5
02009,Almansa,0200904,2019,44.8,16.1,21.6,2.4,28.2,4752,95.6
02009,Almansa,0200904,2018,44.6,16.4,21.7,2.5,27.6,4763,95.8
02009,Almansa,0200904,2017,44.6,16.3,21.9,2.5,28.1,4753,96.6
02009,Almansa,0200904,2016,44.2,16.3,21.5,2.5,27.7,4782,96.8
02009,Almansa,0200904,2015,44,16.3,21.3,2.5,27.9,4824,96.2
02010,Alpera,0201001,2022,44.3,16.6,21.6,2.6,26.9,1644,90.3
02010,Alpera,0201001,2021,44.5,17,21.9,2.6,28.3,1600,92.1
02010,Alpera,0201001,2020,43.8,17.6,21.3,2.6,27.3,1617,91.2
02010,Alpera,0201001,2019,43.7,17,21.3,2.6,27.8,1623,92.2
02010,Alpera,0201001,2018,43.8,17.4,22.4,2.6,25.5,1612,92.8
02010,Alpera,0201001,2017,43.1,18.3,22,2.5,28.8,1620,93.1
02010,Alpera,0201001,2016,42.7,18.5,21.2,2.6,27.1,1616,92.7
02010,Alpera,0201001,2015,42.5,18.5,21.3,2.6,29.1,1613,93.6
02010,Alpera,0201002,2022,49,12.6,29.2,2.3,36,644,90.8
02010,Alpera,0201002,2021,48.7,12.9,28.9,2.3,36.4,653,91.3
02010,Alpera,0201002,2020,48.5,12.7,28.6,2.3,36.2,653,90.3
02010,Alpera,0201002,2019,48.7,12.4,29.4,2.3,36.5,644,92.7
02010,Alpera,0201002,2018,48.7,13.1,29.5,2.3,37.5,651,94.8
02010,Alpera,0201002,2017,48.7,13.2,29.1,2.3,38.6,659,94.4
02010,Alpera,0201002,2016,48.3,13.6,29.2,2.3,37.3,682,94.3
02010,Alpera,0201002,2015,48,14.1,29.7,2.4,35.9,693,94.3
02011,Ayna,0201101,2022,56.8,4.9,40.6,1.8,51,611,97.6
02011,Ayna,0201101,2021,57.2,4.8,42.5,1.8,51.8,586,98.1
02011,Ayna,0201101,2020,58.2,4.1,44.5,1.8,52.3,584,97.8
02011,Ayna,0201101,2019,56.6,4.2,41.6,1.8,48.5,595,98
02011,Ayna,0201101,2018,56.8,4.7,41.6,1.9,48.2,618,97.7
02011,Ayna,0201101,2017,56.5,4.9,41.8,1.9,47.3,638,97.7
