mun_code,mun_name,year,net_income_pc,net_income_hh,net_income_equiv,median_income_equiv,gross_income_pc,gross_income_hh
02028,Cotillas,2020,9726,18308,12770,11550,10707,20155
02028,Cotillas,2019,9825,17534,12798,10850,10908,19467
02028,Cotillas,2018,8746,15665,11317,10150,9513,17039
02028,Cotillas,2017,8485,17106,11489,10150,9203,18552
02028,Cotillas,2016,8231,16588,10997,9450,8870,17875
02028,Cotillas,2015,8023,15606,10475,9450,8611,16750
02029,Chinchilla de Monte-Aragón,2022,12219,29640,18099,16450,14441,35032
02029,Chinchilla de Monte-Aragón,2021,11896,28909,17593,15750,13967,33941
02029,Chinchilla de Monte-Aragón,2020,11074,26999,16443,15050,12934,31533
02029,Chinchilla de Monte-Aragón,2019,10752,26495,16014,14350,12554,30938
02029,Chinchilla de Monte-Aragón,2018,10205,25469,15235,13650,11808,29471
02029,Chinchilla de Monte-Aragón,2017,9804,24537,14573,12950,11358,28425
02029,Chinchilla de Monte-Aragón,2016,9461,24023,14101,12950,10846,27541
02029,Chinchilla de Monte-Aragón,2015,9006,23170,13576,12250,10307,26519
02030,Elche de la Sierra,2022,10996,25444,15974,14350,12517,28963
02030,Elche de la Sierra,2021,10149,23647,14836,12950,11506,26809
02030,Elche de la Sierra,2020,9772,23083,14332,12950,11081,26175
02030,Elche de la Sierra,2019,9487,22637,13901,12250,10736,25617
02030,Elche de la Sierra,2018,8797,21122,13007,11550,9925,23828
02030,Elche de la Sierra,2017,8447,20828,12582,10850,9499,23423
02030,Elche de la Sierra,2016,8120,20219,12055,10850,9104,22671
02030,Elche de la Sierra,2015,7915,19862,11784,10150,8868,22255
02031,Férez,2022,11015,22103,15511,13650,12331,24744
02031,Férez,2021,10314,21451,14527,12250,11611,24149
02031,Férez,2020,9592,20659,13583,11550,10697,23039
02031,Férez,2019,9419,20946,13490,11550,10500,23349
02031,Férez,2018,9300,21362,13466,11550,10312,23688
02031,Férez,2017,8289,19478,12107,10850,9105,21394
02031,Férez,2016,8049,19074,11614,10850,8772,20786
02031,Férez,2015,7529,18287,10884,10150,8160,19821
02032,Fuensanta,2022,11990,22657,16718,14350,13864,26197
02032,Fuensanta,2021,11554,22080,15740,13650,13317,25449
02032,Fuensanta,2020,10834,20121,14666,13650,12231,22714
02032,Fuensanta,2019,10309,19107,13946,12950,11697,21681
02032,Fuensanta,2018,10128,19172,13739,12250,11377,21537
02032,Fuensanta,2017,9353,18332,12764,11550,10443,20469
02032,Fuensanta,2016,8968,18167,12303,10850,9997,20250
02032,Fuensanta,2015,8558,17226,11937,11550,9461,19043
02033,Fuente-Álamo,2022,10307,24521,15137,13650,11707,27853
02033,Fuente-Álamo,2021,9789,23459,14324,12950,11066,26520
02033,Fuente-Álamo,2020,9246,22421,13617,12250,10429,25291
02033,Fuente-Álamo,2019,8774,21511,12887,11550,9837,24116
02033,Fuente-Álamo,2018,8853,22036,13152,11550,10060,25039
02033,Fuente-Álamo,2017,7871,19609,11598,10150,8808,21945
02033,Fuente-Álamo,2016,7423,18595,11027,9450,8281,20743
02033,Fuente-Álamo,2015,6937,17693,10434,8750,7698,19635
02034,Fuentealbilla,2022,11037,27010,16171,14350,12741,31180
02034,Fuentealbilla,2021,10497,25710,15527,13650,12141,29739
02034,Fuentealbilla,2020,9697,24464,14409,12250,11119,28052
02034,Fuentealbilla,2019,9664,24242,14290,12250,11050,27719
02034,Fuentealbilla,2018,9068,22748,13470,11550,10239,25685
02034,Fuentealbilla,2017,8291,21265,12347,10850,9402,24113
02034,Fuentealbilla,2016,7793,20560,11787,10150,8740,23059
02034,Fuentealbilla,2015,7686,20177,11553,10150,8590,22553
02035,"Gineta, La",2022,11690,29968,17536,15750,13667,35038
02035,"Gineta, La",2021,10957,28224,16506,14350,12765,32881
02035,"Gineta, La",2020,10260,26654,15503,13650,11819,30702
02035,"Gineta, La",2019,10055,26277,15348,14350,11693,30558
02035,"Gineta, La",2018,9785,25206,14731,13650,11319,29159
02035,"Gineta, La",2017,9355,23965,14160,12950,10765,27577
02035,"Gineta, La",2016,8894,22806,13518,12250,10164,26063
02035,"Gineta, La",2015,8834,22693,13446,11550,10061,25844
02036,Golosalvo,2022,NA,NA,NA,NA,NA,NA
02036,Golosalvo,2021,12033,23584,NA,NA,13926,27295
02036,Golosalvo,2020,11664,23519,NA,NA,13573,27369
02036,Golosalvo,2019,NA,NA,NA,NA,NA,NA
02036,Golosalvo,2018,9582,20562,13358,12250,10531,22597
02036,Golosalvo,2017,8116,17168,11194,10500,8865,18754
02036,Golosalvo,2016,8139,17217,11035,9450,8813,18643
02036,Golosalvo,2015,7912,17116,11081,8750,8651,18715
02037,Hellín,2022,10320,26969,15531,13650,11921,31152
02037,Hellín,2021,9742,25673,14715,12950,11208,29538
02037,Hellín,2020,9296,24660,14066,12250,10637,28218
02037,Hellín,2019,9081,24100,13719,12250,10350,27467
02037,Hellín,2018,8603,22918,12992,11550,9790,26080
02037,Hellín,2017,8250,22138,12558,10850,9404,25235
02037,Hellín,2016,7901,21389,12034,10150,8972,24286
02037,Hellín,2015,7627,21006,11712,10150,8629,23764
02038,"Herrera, La",2022,12097,26664,16848,14350,14257,31425
02038,"Herrera, La",2021,11217,25239,16079,12250,13875,31218
02038,"Herrera, La",2020,10670,24556,14860,11550,12491,28747
02038,"Herrera, La",2019,10402,24196,14620,12250,12122,28198
02038,"Herrera, La",2018,9968,23593,14172,11550,11758,27831
02038,"Herrera, La",2017,9289,22449,13413,10850,10720,25907
02038,"Herrera, La",2016,9245,22201,13757,11550,10650,25575
02038,"Herrera, La",2015,9475,23137,13772,12250,11063,27017
02039,Higueruela,2022,12301,30395,18131,16450,14236,35175
02039,Higueruela,2021,11299,28222,16829,15050,13018,32515
02039,Higueruela,2020,10617,26519,16119,14350,12502,31226
02039,Higueruela,2019,10320,25375,15324,13650,11796,29002
02039,Higueruela,2018,9833,24594,14651,12950,11184,27973
02039,Higueruela,2017,9017,22609,13965,12250,10660,26728
02039,Higueruela,2016,9100,23667,13855,12250,10345,26905
02039,Higueruela,2015,8715,22925,13300,11550,9826,25848
02040,Hoya-Gonzalo,2022,12736,34800,19631,17850,15059,41148
02040,Hoya-Gonzalo,2021,12727,32519,19012,17850,14850,37943
02040,Hoya-Gonzalo,2020,11915,31914,17952,15750,13866,37141
02040,Hoya-Gonzalo,2019,11405,31603,17492,16450,13277,36791
02040,Hoya-Gonzalo,2018,10869,30263,16630,15050,12587,35048
02040,Hoya-Gonzalo,2017,10200,28369,15455,13650,11685,32499
02040,Hoya-Gonzalo,2016,9869,27538,14997,13650,11263,31429
02040,Hoya-Gonzalo,2015,9527,27384,14736,12950,10935,31432
02041,Jorquera,2022,11642,21976,15414,12250,13438,25366
02041,Jorquera,2021,10986,20131,14252,11550,12585,23061
02041,Jorquera,2020,9357,17707,12516,10850,10351,19588
02041,Jorquera,2019,9941,18455,13058,10150,11070,20550
02041,Jorquera,2018,8886,16716,12363,10150,9795,18425
02041,Jorquera,2017,8291,15447,11248,9450,9098,16952
02041,Jorquera,2016,8324,15964,11396,9450,9146,17541
02041,Jorquera,2015,8669,16841,12004,9450,9577,18605
02042,Letur,2022,10236,21406,15669,12950,12807,26784
02042,Letur,2021,10867,22886,15661,13650,12305,25913
02042,Letur,2020,10379,22057,14829,11550,11769,25012
02042,Letur,2019,9901,20918,14122,11550,11113,23478
02042,Letur,2018,9102,19373,13033,10850,10147,21598
02042,Letur,2017,8441,18558,12109,10150,9388,20640
02042,Letur,2016,8309,18397,11756,10150,9219,20413
02042,Letur,2015,8210,18230,11702,10150,9067,20132
02043,Lezuza,2022,11202,25399,16143,14350,12791,29004
02043,Lezuza,2021,10656,24763,15428,13650,12098,28114
02043,Lezuza,2020,10087,23102,14552,12950,11551,26455
02043,Lezuza,2019,9855,22765,14173,12950,11150,25757
02043,Lezuza,2018,9048,20976,12999,11550,10226,23708
02043,Lezuza,2017,8467,20204,12214,10850,9533,22748
02043,Lezuza,2016,8090,19716,11811,10150,9037,22026
02043,Lezuza,2015,7914,19549,11687,10150,8857,21879
02044,Liétor,2022,11126,23135,15499,14350,12534,26065
