mun_code,mun_name,district_code,year,gini,p80p20
02024,Casas-Ibáñez,0202402,2022,26.5,2
02024,Casas-Ibáñez,0202402,2021,28.9,2.6
02024,Casas-Ibáñez,0202402,2020,30.3,2.4
02024,Casas-Ibáñez,0202402,2019,27.7,2.3
02024,Casas-Ibáñez,0202402,2018,29.8,2.3
02024,Casas-Ibáñez,0202402,2017,30.7,2.1
02024,Casas-Ibáñez,0202402,2016,31.2,2.1
02024,Casas-Ibáñez,0202402,2015,34.5,2.6
02025,Caudete,0202501,2022,26.9,2.3
02025,Caudete,0202501,2021,27.5,2.4
02025,Caudete,0202501,2020,28.2,2.5
02025,Caudete,0202501,2019,28.3,2.4
02025,Caudete,0202501,2018,28.6,2.3
02025,Caudete,0202501,2017,29.3,2.4
02025,Caudete,0202501,2016,29.9,2.6
02025,Caudete,0202501,2015,31.6,2.8
02026,Cenizate,0202601,2022,27.7,2.2
02026,Cenizate,0202601,2021,26.6,2.3
02026,Cenizate,0202601,2020,27.5,2.1
02026,Cenizate,0202601,2019,25.4,2
02026,Cenizate,0202601,2018,27,2.1
02026,Cenizate,0202601,2017,28.2,2.3
02026,Cenizate,0202601,2016,29.3,2.3
02026,Cenizate,0202601,2015,29.4,2.6
02027,Corral-Rubio,0202701,2022,32.7,2.8
02027,Corral-Rubio,0202701,2021,31.5,2.8
02027,Corral-Rubio,0202701,2020,32.6,2.8
02027,Corral-Rubio,0202701,2019,30.4,2.9
02027,Corral-Rubio,0202701,2018,33.1,2.8
02027,Corral-Rubio,0202701,2017,32.9,2.7
02027,Corral-Rubio,0202701,2016,32,2.8
02027,Corral-Rubio,0202701,2015,31.8,2.9
02028,Cotillas,0202801,2022,30.1,2.2
02028,Cotillas,0202801,2021,32.8,3.1
02028,Cotillas,0202801,2020,28.4,2
02028,Cotillas,0202801,2019,29.5,2.6
02028,Cotillas,0202801,2018,28,2.8
02028,Cotillas,0202801,2017,23.4,2
02028,Cotillas,0202801,2016,25.7,2
02028,Cotillas,0202801,2015,24.1,2.1
02029,Chinchilla de Monte-Aragón,0202901,2022,25.3,2.2
02029,Chinchilla de Monte-Aragón,0202901,2021,24.9,2.1
02029,Chinchilla de Monte-Aragón,0202901,2020,26.2,2.2
02029,Chinchilla de Monte-Aragón,0202901,2019,26.5,2.3
02029,Chinchilla de Monte-Aragón,0202901,2018,26.8,2.3
02029,Chinchilla de Monte-Aragón,0202901,2017,27.9,2.5
02029,Chinchilla de Monte-Aragón,0202901,2016,29.3,2.6
02029,Chinchilla de Monte-Aragón,0202901,2015,28.8,2.6
02029,Chinchilla de Monte-Aragón,0202902,2022,27.8,2.3
02029,Chinchilla de Monte-Aragón,0202902,2021,28.5,2.4
02029,Chinchilla de Monte-Aragón,0202902,2020,29,2.3
02029,Chinchilla de Monte-Aragón,0202902,2019,29.6,2.3
02029,Chinchilla de Monte-Aragón,0202902,2018,29.8,2.4
02029,Chinchilla de Monte-Aragón,0202902,2017,31.4,2.5
02029,Chinchilla de Monte-Aragón,0202902,2016,31.3,2.6
02029,Chinchilla de Monte-Aragón,0202902,2015,31.6,2.5
02030,Elche de la Sierra,0203001,2022,27.9,2.4
02030,Elche de la Sierra,0203001,2021,29.2,2.4
02030,Elche de la Sierra,0203001,2020,27.8,2.3
02030,Elche de la Sierra,0203001,2019,28.4,2.2
02030,Elche de la Sierra,0203001,2018,28.4,2.2
02030,Elche de la Sierra,0203001,2017,29.4,2.5
02030,Elche de la Sierra,0203001,2016,29.7,2.4
02030,Elche de la Sierra,0203001,2015,29.9,2.6
02030,Elche de la Sierra,0203002,2022,28.8,2.6
02030,Elche de la Sierra,0203002,2021,28.4,2.4
02030,Elche de la Sierra,0203002,2020,28.9,2.6
02030,Elche de la Sierra,0203002,2019,29.3,2.5
02030,Elche de la Sierra,0203002,2018,29.6,2.5
02030,Elche de la Sierra,0203002,2017,29.7,2.4
02030,Elche de la Sierra,0203002,2016,31.5,2.6
02030,Elche de la Sierra,0203002,2015,31.6,2.6
02031,Férez,0203101,2022,33.3,2.4
02031,Férez,0203101,2021,31.8,2.7
02031,Férez,0203101,2020,29.9,2.2
02031,Férez,0203101,2019,31.9,2.3
02031,Férez,0203101,2018,33.3,3
02031,Férez,0203101,2017,31.5,2.6
02031,Férez,0203101,2016,33.7,2.9
02031,Férez,0203101,2015,33.4,3
02032,Fuensanta,0203201,2022,30.6,2.3
02032,Fuensanta,0203201,2021,29.6,2.4
02032,Fuensanta,0203201,2020,28.9,2.6
02032,Fuensanta,0203201,2019,29.1,2.5
02032,Fuensanta,0203201,2018,30.9,2.6
02032,Fuensanta,0203201,2017,31.6,2.6
02032,Fuensanta,0203201,2016,33.1,2.9
02032,Fuensanta,0203201,2015,31.3,2.9
02033,Fuente-Álamo,0203301,2022,29.2,2.4
02033,Fuente-Álamo,0203301,2021,28.6,2.2
02033,Fuente-Álamo,0203301,2020,29.8,2.2
02033,Fuente-Álamo,0203301,2019,30.4,2.4
02033,Fuente-Álamo,0203301,2018,31.3,2.4
02033,Fuente-Álamo,0203301,2017,30.7,2.4
02033,Fuente-Álamo,0203301,2016,32.1,2.5
02033,Fuente-Álamo,0203301,2015,31.8,2.4
