mun_code,mun_name,year,gini,p80p20
02031,Férez,2018,33.3,3
02031,Férez,2017,31.5,2.6
02031,Férez,2016,33.7,2.9
02031,Férez,2015,33.4,3
02032,Fuensanta,2022,30.6,2.3
02032,Fuensanta,2021,29.6,2.4
02032,Fuensanta,2020,28.9,2.6
02032,Fuensanta,2019,29.1,2.5
02032,Fuensanta,2018,30.9,2.6
02032,Fuensanta,2017,31.6,2.6
02032,Fuensanta,2016,33.1,2.9
02032,Fuensanta,2015,31.3,2.9
02033,Fuente-Álamo,2022,29.2,2.4
02033,Fuente-Álamo,2021,28.6,2.2
02033,Fuente-Álamo,2020,29.8,2.2
02033,Fuente-Álamo,2019,30.4,2.4
02033,Fuente-Álamo,2018,31.3,2.4
02033,Fuente-Álamo,2017,30.7,2.4
02033,Fuente-Álamo,2016,32.1,2.5
02033,Fuente-Álamo,2015,31.8,2.4
02034,Fuentealbilla,2022,28.9,2.2
02034,Fuentealbilla,2021,28.1,2.1
02034,Fuentealbilla,2020,28.7,2.2
02034,Fuentealbilla,2019,28.7,2.2
02034,Fuentealbilla,2018,27.2,2
02034,Fuentealbilla,2017,30.7,2.2
02034,Fuentealbilla,2016,30,2.4
02034,Fuentealbilla,2015,31.5,2.5
02035,"Gineta, La",2022,27.7,2.2
02035,"Gineta, La",2021,27.4,2.3
02035,"Gineta, La",2020,27.5,2.3
02035,"Gineta, La",2019,27.7,2.4
02035,"Gineta, La",2018,29,2.5
02035,"Gineta, La",2017,28.4,2.4
02035,"Gineta, La",2016,29.2,2.5
02035,"Gineta, La",2015,31,2.5
02036,Golosalvo,2022,NA,NA
02036,Golosalvo,2021,NA,NA
02036,Golosalvo,2020,NA,NA
02036,Golosalvo,2019,NA,NA
02036,Golosalvo,2018,29.5,2.8
02036,Golosalvo,2017,24.4,2
02036,Golosalvo,2016,27.6,2.5
02036,Golosalvo,2015,32,2.5
02037,Hellín,2022,29.4,2.4
02037,Hellín,2021,29.9,2.5
02037,Hellín,2020,30.5,2.4
02037,Hellín,2019,30.7,2.5
02037,Hellín,2018,31.4,2.4
02037,Hellín,2017,31.9,2.6
02037,Hellín,2016,33.5,2.8
02037,Hellín,2015,34.5,2.8
02038,"Herrera, La",2022,34.1,3.1
02038,"Herrera, La",2021,34.5,2.7
02038,"Herrera, La",2020,33.9,2.8
02038,"Herrera, La",2019,30.5,2.5
02038,"Herrera, La",2018,30.4,2.5
02038,"Herrera, La",2017,32.6,2.8
02038,"Herrera, La",2016,34.8,3.6
02038,"Herrera, La",2015,32.4,2.5
02039,Higueruela,2022,29.8,2.7
02039,Higueruela,2021,29.9,2.6
02039,Higueruela,2020,30.2,2.7
02039,Higueruela,2019,28.9,2.4
02039,Higueruela,2018,28.4,2.5
02039,Higueruela,2017,30.2,2.7
02039,Higueruela,2016,28.7,2.6
02039,Higueruela,2015,29.2,2.5
02040,Hoya-Gonzalo,2022,27.8,2.6
02040,Hoya-Gonzalo,2021,28.4,2.4
02040,Hoya-Gonzalo,2020,27.8,2.3
02040,Hoya-Gonzalo,2019,28.9,2.3
02040,Hoya-Gonzalo,2018,26.9,2.3
02040,Hoya-Gonzalo,2017,28.2,2.5
02040,Hoya-Gonzalo,2016,27.9,2.6
02040,Hoya-Gonzalo,2015,30.9,2.4
02041,Jorquera,2022,29.3,2.5
02041,Jorquera,2021,30,2.3
02041,Jorquera,2020,29.6,2.1
02041,Jorquera,2019,30.3,2.1
02041,Jorquera,2018,31,2.4
02041,Jorquera,2017,32.7,2.5
02041,Jorquera,2016,33.6,2.5
02041,Jorquera,2015,35.2,2.8
02042,Letur,2022,31.4,2.7
02042,Letur,2021,30.8,2.6
02042,Letur,2020,32.8,2.3
02042,Letur,2019,30.6,2.2
02042,Letur,2018,31.2,2.2
02042,Letur,2017,32.3,2.6
02042,Letur,2016,32.6,2.5
02042,Letur,2015,30.9,2.6
02043,Lezuza,2022,28.2,2.2
02043,Lezuza,2021,27.7,2.3
02043,Lezuza,2020,27,2.2
02043,Lezuza,2019,26.7,2.2
02043,Lezuza,2018,28.4,2.3
02043,Lezuza,2017,27.4,2.1
02043,Lezuza,2016,28,2.2
02043,Lezuza,2015,29.2,2.4
02044,Liétor,2022,29.1,2.4
02044,Liétor,2021,27.9,2.3
02044,Liétor,2020,27.6,2.3
02044,Liétor,2019,28.3,2.2
02044,Liétor,2018,28.6,2.3
02044,Liétor,2017,31.5,2.5
02044,Liétor,2016,30.7,2.4
02044,Liétor,2015,31.3,2.4
02045,Madrigueras,2022,29.6,2.6
02045,Madrigueras,2021,29.9,2.6
02045,Madrigueras,2020,30,2.5
02045,Madrigueras,2019,29.6,2.4
02045,Madrigueras,2018,30.1,2.6
02045,Madrigueras,2017,31.1,2.7
02045,Madrigueras,2016,31.3,2.6
02045,Madrigueras,2015,31.2,2.5
02046,Mahora,2022,29,2.5
02046,Mahora,2021,29.1,2.5
02046,Mahora,2020,27.3,2.3
02046,Mahora,2019,28.2,2.5
02046,Mahora,2018,28.8,2.5
02046,Mahora,2017,30,2.4
02046,Mahora,2016,29.3,2.4
02046,Mahora,2015,30.2,2.6
02047,Masegoso,2022,32.6,2.2
02047,Masegoso,2021,36.3,2.4
02047,Masegoso,2020,37,2.9
02047,Masegoso,2019,37.3,2.8
02047,Masegoso,2018,37.4,2.9
02047,Masegoso,2017,38.7,2.9
02047,Masegoso,2016,38.9,3.4
02047,Masegoso,2015,38.2,3.7
02048,Minaya,2022,25.8,2.1
02048,Minaya,2021,26.6,2.3
02048,Minaya,2020,26.4,2.3
02048,Minaya,2019,26.8,2.2
02048,Minaya,2018,27,2.2
02048,Minaya,2017,27.9,2.2
02048,Minaya,2016,28.8,2.4
02048,Minaya,2015,27,2.2
02049,Molinicos,2022,28.5,2.3
02049,Molinicos,2021,28.8,2.1
02049,Molinicos,2020,30.3,2.5
02049,Molinicos,2019,27.9,2.2
02049,Molinicos,2018,29.1,2.5
02049,Molinicos,2017,28.4,2.2
02049,Molinicos,2016,28.9,2.1
02049,Molinicos,2015,28.4,2
02050,Montalvos,2022,NA,NA
02050,Montalvos,2021,NA,NA
02050,Montalvos,2020,NA,NA
02050,Montalvos,2019,NA,NA
02050,Montalvos,2018,NA,NA
02050,Montalvos,2017,NA,NA
02050,Montalvos,2016,32.3,3.2
02050,Montalvos,2015,40.5,3.4
02051,Montealegre del Castillo,2022,29.3,2.4
02051,Montealegre del Castillo,2021,29.7,2.3
02051,Montealegre del Castillo,2020,28,2.2
02051,Montealegre del Castillo,2019,28.7,2.3
02051,Montealegre del Castillo,2018,29,2.4
02051,Montealegre del Castillo,2017,29.4,2.3
02051,Montealegre del Castillo,2016,29.6,2.2
02051,Montealegre del Castillo,2015,29,2.4
02052,Motilleja,2022,27.9,2.2
02052,Motilleja,2021,30.3,2.6
02052,Motilleja,2020,29.7,2.5
02052,Motilleja,2019,29.1,2.5
02052,Motilleja,2018,30.9,2.7
02052,Motilleja,2017,30.1,2.6
02052,Motilleja,2016,30.9,2.4
02052,Motilleja,2015,31.2,2.7
02053,Munera,2022,25.3,2.1
02053,Munera,2021,24.1,2.2
02053,Munera,2020,24.2,2.1
02053,Munera,2019,24.6,2.2
02053,Munera,2018,25.6,2.1
02053,Munera,2017,26.3,2.2
02053,Munera,2016,26.4,2
02053,Munera,2015,27.4,2.2
02054,Navas de Jorquera,2022,27.9,2.3
02054,Navas de Jorquera,2021,28.2,2.2
02054,Navas de Jorquera,2020,26.5,2.3
02054,Navas de Jorquera,2019,25.5,2.1
02054,Navas de Jorquera,2018,27.1,2.3
02054,Navas de Jorquera,2017,26.8,2.2
02054,Navas de Jorquera,2016,23.4,2
02054,Navas de Jorquera,2015,25.5,2.1
02055,Nerpio,2022,29.3,2.6
02055,Nerpio,2021,29,2.3
02055,Nerpio,2020,28,2.2
02055,Nerpio,2019,26.2,2.1
02055,Nerpio,2018,27.6,2.1
02055,Nerpio,2017,28.7,2.3
02055,Nerpio,2016,28.8,2.4
02055,Nerpio,2015,29.8,2.7
02056,Ontur,2022,27.9,2.2
02056,Ontur,2021,27,2
02056,Ontur,2020,27.7,2.1
02056,Ontur,2019,28.2,2.1
02056,Ontur,2018,28.8,2.2
02056,Ontur,2017,29.3,2.4
02056,Ontur,2016,30.7,2.3
02056,Ontur,2015,31.5,2.4
02057,Ossa de Montiel,2022,27,2.1
02057,Ossa de Montiel,2021,27.8,2.2
02057,Ossa de Montiel,2020,27.1,2.2
02057,Ossa de Montiel,2019,27.2,2.2
02057,Ossa de Montiel,2018,28.1,2.1
02057,Ossa de Montiel,2017,28.4,2.2
02057,Ossa de Montiel,2016,29,2.5
02057,Ossa de Montiel,2015,30.3,2.6
02058,Paterna del Madera,2022,33.3,3.1
02058,Paterna del Madera,2021,32.1,2.6
02058,Paterna del Madera,2020,28.7,2.3
02058,Paterna del Madera,2019,30.5,2.4
02058,Paterna del Madera,2018,31.8,2.9
02058,Paterna del Madera,2017,32.1,2.3
02058,Paterna del Madera,2016,32.2,2.8
02058,Paterna del Madera,2015,29.8,2.4
02059,Peñascosa,2022,26.9,2.5
02059,Peñascosa,2021,29.1,2.8
02059,Peñascosa,2020,29.2,2.7
02059,Peñascosa,2019,29.4,2.5
02059,Peñascosa,2018,30.5,2.6
02059,Peñascosa,2017,30.7,2.6
02059,Peñascosa,2016,31.4,2.7
02059,Peñascosa,2015,32.8,2.8
02060,Peñas de San Pedro,2022,29.5,2.5
02060,Peñas de San Pedro,2021,30.7,2.6
02060,Peñas de San Pedro,2020,31.8,2.6
02060,Peñas de San Pedro,2019,30.8,2.5
02060,Peñas de San Pedro,2018,31.6,2.7
02060,Peñas de San Pedro,2017,32.8,2.7
02060,Peñas de San Pedro,2016,32.8,2.7
02060,Peñas de San Pedro,2015,33.8,2.7
02061,Pétrola,2022,31.9,2.6
02061,Pétrola,2021,30.9,2.5
02061,Pétrola,2020,30.8,2.5
02061,Pétrola,2019,30,2.3
02061,Pétrola,2018,31.1,2.7
02061,Pétrola,2017,31.8,2.5
02061,Pétrola,2016,31.8,2.4
02061,Pétrola,2015,33.2,2.4
02062,Povedilla,2022,26.9,2.4
02062,Povedilla,2021,27,2.6
02062,Povedilla,2020,27.6,2.5
02062,Povedilla,2019,25.8,2.4
02062,Povedilla,2018,27.3,2.4
02062,Povedilla,2017,27.1,2.4
02062,Povedilla,2016,29.8,2.2
02062,Povedilla,2015,28.8,2.1
02063,Pozohondo,2022,27.7,2.4
02063,Pozohondo,2021,27.9,2.3
02063,Pozohondo,2020,27.6,2.4
02063,Pozohondo,2019,27.9,2.3
02063,Pozohondo,2018,27.2,2.1
02063,Pozohondo,2017,26.9,2.1
02063,Pozohondo,2016,28.2,2.2
02063,Pozohondo,2015,28.1,2.5
02064,Pozo-Lorente,2022,33.9,2.9
02064,Pozo-Lorente,2021,33.8,2.8
02064,Pozo-Lorente,2020,34.3,2.6
02064,Pozo-Lorente,2019,33.9,2.7
02064,Pozo-Lorente,2018,31.6,2.7
02064,Pozo-Lorente,2017,35.4,2.6
02064,Pozo-Lorente,2016,35.9,2.5
