mun_code,mun_name,district_code,year,net_income_pc,net_income_hh,net_income_equiv,median_income_equiv,gross_income_pc,gross_income_hh
02009,Almansa,0200902,2019,10260,26263,15516,14350,11790,30179
02009,Almansa,0200902,2018,9653,24847,14606,13650,11059,28466
02009,Almansa,0200902,2017,9236,24023,13967,12950,10608,27591
02009,Almansa,0200902,2016,8971,23383,13485,12250,10229,26661
02009,Almansa,0200902,2015,8713,22386,13042,11550,9949,25561
02009,Almansa,0200903,2022,12525,31841,18712,16450,14896,37868
02009,Almansa,0200903,2021,11804,30387,17719,15750,13979,35987
02009,Almansa,0200903,2020,11212,29208,16886,14350,13178,34329
02009,Almansa,0200903,2019,11254,29575,17096,15050,13448,35341
02009,Almansa,0200903,2018,10666,28281,16234,14350,12558,33297
02009,Almansa,0200903,2017,10142,27149,15477,13650,11976,32059
02009,Almansa,0200903,2016,9732,26161,14880,12950,11446,30769
02009,Almansa,0200903,2015,9310,25318,14257,12250,10929,29721
02009,Almansa,0200904,2022,11673,28313,17324,15750,13593,32969
02009,Almansa,0200904,2021,10774,26180,16019,14350,12483,30332
02009,Almansa,0200904,2020,10398,25313,15519,14350,11931,29045
02009,Almansa,0200904,2019,10326,25361,15503,14350,11909,29248
02009,Almansa,0200904,2018,9961,24753,14984,13650,11472,28510
02009,Almansa,0200904,2017,9372,23317,14059,12950,10774,26804
02009,Almansa,0200904,2016,9143,22937,13733,12250,10479,26288
02009,Almansa,0200904,2015,8572,21743,12868,11550,9787,24827
02010,Alpera,0201001,2022,10125,26380,15278,14350,11413,29735
02010,Alpera,0201001,2021,9654,24884,14418,12950,10951,28226
02010,Alpera,0201001,2020,8942,23705,13404,12250,10017,26554
02010,Alpera,0201001,2019,8866,22848,13359,12250,9957,25662
02010,Alpera,0201001,2018,8694,22406,13022,11900,9748,25123
02010,Alpera,0201001,2017,7997,20462,11888,10850,8914,22807
02010,Alpera,0201001,2016,7722,20251,11534,10150,8643,22666
02010,Alpera,0201001,2015,7646,20002,11403,10150,8492,22215
02010,Alpera,0201002,2022,10326,23731,14848,14350,11432,26273
02010,Alpera,0201002,2021,9620,22447,13848,12950,10585,24698
02010,Alpera,0201002,2020,8847,20751,12695,11550,9681,22707
02010,Alpera,0201002,2019,8696,20386,12503,11550,9547,22381
02010,Alpera,0201002,2018,8621,19990,12308,11550,9493,22013
02010,Alpera,0201002,2017,7804,18144,11345,10850,8562,19906
02010,Alpera,0201002,2016,7442,17511,10618,10150,8060,18966
02010,Alpera,0201002,2015,7293,17642,10596,10150,7861,19015
02011,Ayna,0201101,2022,13668,24636,18254,15750,15758,28403
02011,Ayna,0201101,2021,11990,21553,16516,13650,14287,25681
02011,Ayna,0201101,2020,12193,21803,16138,13650,13806,24688
02011,Ayna,0201101,2019,11858,21646,15987,13650,13357,24383
02011,Ayna,0201101,2018,11190,20969,15015,12950,12596,23604
02011,Ayna,0201101,2017,10725,20508,14605,12250,12054,23048
02011,Ayna,0201101,2016,10209,19968,13890,11550,11417,22330
02011,Ayna,0201101,2015,10179,20035,13928,11550,11354,22349
02012,Balazote,0201201,2022,11437,29225,17058,15050,13181,33681
02012,Balazote,0201201,2021,10495,26886,15821,14350,12079,30943
02012,Balazote,0201201,2020,10758,27051,16008,13650,12459,31328
02012,Balazote,0201201,2019,11271,28130,16976,13650,12733,31777
02012,Balazote,0201201,2018,9008,22528,13436,12250,10182,25466
02012,Balazote,0201201,2017,9462,23721,14121,12250,10878,27270
02012,Balazote,0201201,2016,8627,21775,12915,11550,9787,24702
02012,Balazote,0201201,2015,8033,19963,12059,10850,9014,22400
02013,Balsa de Ves,0201301,2022,14315,24777,18083,14350,16246,28119
02013,Balsa de Ves,0201301,2021,13701,24424,17798,14350,15609,27824
02013,Balsa de Ves,0201301,2020,12599,22859,16696,12950,14414,26152
02013,Balsa de Ves,0201301,2019,12219,22693,16390,13650,13686,25418
02013,Balsa de Ves,0201301,2018,12069,22149,15834,11550,13567,24900
02013,Balsa de Ves,0201301,2017,9342,17517,12482,10150,10289,19292
02013,Balsa de Ves,0201301,2016,9809,17894,13129,10850,10775,19656
02013,Balsa de Ves,0201301,2015,9373,17589,12843,10150,10279,19290
02014,"Ballestero, El",0201401,2022,11931,25620,16914,15750,13701,29420
02014,"Ballestero, El",0201401,2021,11587,25369,16413,15050,13383,29302
02014,"Ballestero, El",0201401,2020,11205,24018,15738,15050,12748,27326
02014,"Ballestero, El",0201401,2019,11256,23843,15961,15050,12819,27154
02014,"Ballestero, El",0201401,2018,10203,21981,14539,12950,11606,25002
02014,"Ballestero, El",0201401,2017,9423,20250,13524,11550,10640,22864
02014,"Ballestero, El",0201401,2016,8469,18079,12720,10850,9979,21303
02014,"Ballestero, El",0201401,2015,8743,18679,12308,10150,9671,20661
02015,Barrax,0201501,2022,10517,26857,15770,14350,12168,31073
02015,Barrax,0201501,2021,9992,25666,14920,13650,11508,29559
02015,Barrax,0201501,2020,9614,24673,14375,12950,10914,28008
02015,Barrax,0201501,2019,9220,23738,13798,12250,10469,26953
02015,Barrax,0201501,2018,8745,22952,13185,11550,9871,25907
02015,Barrax,0201501,2017,8224,21716,12422,10850,9235,24386
02015,Barrax,0201501,2016,7902,21262,11961,10150,8869,23863
02015,Barrax,0201501,2015,7439,20297,11298,10150,8259,22534
02016,Bienservida,0201601,2022,10976,21798,15029,13650,12322,24470
02016,Bienservida,0201601,2021,10497,20993,14425,12950,11755,23511
02016,Bienservida,0201601,2020,9209,19062,12693,10850,10247,21210
02016,Bienservida,0201601,2019,9533,19539,13178,11550,10631,21790
02016,Bienservida,0201601,2018,8921,18531,12363,10500,9930,20626
02016,Bienservida,0201601,2017,8885,18888,12449,10850,9895,21036
02016,Bienservida,0201601,2016,8284,18072,11589,9450,9177,20019
02016,Bienservida,0201601,2015,8017,17910,11237,9450,8869,19814
02017,Bogarra,0201701,2022,10693,19805,14177,12950,11750,21763
02017,Bogarra,0201701,2021,10045,18669,13331,11550,10985,20416
02017,Bogarra,0201701,2020,9311,17538,12391,10850,10156,19130
02017,Bogarra,0201701,2019,9172,17660,12220,11550,9939,19138
02017,Bogarra,0201701,2018,8356,16380,11284,10850,8983,17609
02017,Bogarra,0201701,2017,8186,16544,11115,10150,8823,17832
02017,Bogarra,0201701,2016,7698,15818,10501,9450,8242,16938
02017,Bogarra,0201701,2015,7424,15352,10174,9450,7913,16363
02018,Bonete,0201801,2022,12336,29963,17672,15750,14175,34431
02018,Bonete,0201801,2021,11453,28000,16524,15050,13012,31810
02018,Bonete,0201801,2020,10182,25171,14617,12950,11560,28578
02018,Bonete,0201801,2019,9849,24197,14331,12250,11187,27484
02018,Bonete,0201801,2018,9719,24675,14322,12250,11037,28022
02018,Bonete,0201801,2017,8953,22793,13100,10850,10179,25914
02018,Bonete,0201801,2016,8442,22594,12473,10850,9521,25482
02018,Bonete,0201801,2015,8389,22493,12375,10850,9440,25310
02019,"Bonillo, El",0201901,2022,11662,27506,16970,15050,13301,31373
02019,"Bonillo, El",0201901,2021,10814,26168,15922,14350,12416,30046
02019,"Bonillo, El",0201901,2020,10197,24869,14981,13650,11597,28282
02019,"Bonillo, El",0201901,2019,9709,23686,14175,12950,10906,26606
02019,"Bonillo, El",0201901,2018,9287,23009,13638,12250,10458,25910
02019,"Bonillo, El",0201901,2017,8569,21546,12619,11550,9574,24072
02019,"Bonillo, El",0201901,2016,8208,20748,12077,10150,9130,23079
02019,"Bonillo, El",0201901,2015,7917,20279,11687,10150,8770,22461
02020,Carcelén,0202001,2022,11046,22463,15327,14350,12342,25098
02020,Carcelén,0202001,2021,10038,21132,14015,12600,11118,23407
02020,Carcelén,0202001,2020,9953,20761,14039,12950,11013,22971
02020,Carcelén,0202001,2019,9735,20599,13755,12250,10805,22862
02020,Carcelén,0202001,2018,9690,20622,13733,11900,10781,22944
02020,Carcelén,0202001,2017,8792,19107,12487,10150,9728,21140
02020,Carcelén,0202001,2016,8431,18837,12002,10150,9363,20919
02020,Carcelén,0202001,2015,8408,18212,11875,10150,9240,20013
02021,Casas de Juan Núñez,0202101,2022,10927,24545,15436,13650,12439,27940
02021,Casas de Juan Núñez,0202101,2021,10377,23737,14673,12950,11794,26978
02021,Casas de Juan Núñez,0202101,2020,10041,23107,14437,12950,11447,26343
02021,Casas de Juan Núñez,0202101,2019,9822,22142,14083,12950,11135,25102
02021,Casas de Juan Núñez,0202101,2018,9207,21024,13227,11550,10413,23778
02021,Casas de Juan Núñez,0202101,2017,8690,19572,12479,10850,9825,22129
02021,Casas de Juan Núñez,0202101,2016,8257,18896,11870,10850,9360,21420
02021,Casas de Juan Núñez,0202101,2015,7998,18389,11471,10150,8926,20524
02022,Casas de Lázaro,0202201,2022,14018,26183,18433,17150,16040,29959
02022,Casas de Lázaro,0202201,2021,12592,25184,17465,15750,14465,28929
02022,Casas de Lázaro,0202201,2020,11629,23839,16209,14350,13098,26852
02022,Casas de Lázaro,0202201,2019,11548,24285,15846,14350,12994,27328
02022,Casas de Lázaro,0202201,2018,11228,23696,15453,13650,12670,26740
02022,Casas de Lázaro,0202201,2017,10865,22856,14982,12950,12231,25729
02022,Casas de Lázaro,0202201,2016,10236,21751,14212,12950,11484,24404
02022,Casas de Lázaro,0202201,2015,9692,21563,13544,11550,10873,24192
02023,Casas de Ves,0202301,2022,12006,24320,16573,15050,13705,27762
02023,Casas de Ves,0202301,2021,11620,23534,15804,14350,13132,26597
02023,Casas de Ves,0202301,2020,10926,21660,14749,12250,12299,24381
02023,Casas de Ves,0202301,2019,10731,21811,14722,12950,12113,24619
02023,Casas de Ves,0202301,2018,10519,21151,14376,12250,11903,23933
02023,Casas de Ves,0202301,2017,9022,18045,12441,10150,10156,20311
02023,Casas de Ves,0202301,2016,8690,18009,11808,9800,9714,20130
02023,Casas de Ves,0202301,2015,8540,17822,11760,9450,9477,19776
02024,Casas-Ibáñez,0202401,2022,10985,27817,16348,14350,12762,32315
02024,Casas-Ibáñez,0202401,2021,10571,26959,15724,13650,12277,31311
02024,Casas-Ibáñez,0202401,2020,9841,25036,14609,12950,11315,28785
02024,Casas-Ibáñez,0202401,2019,9841,25462,14659,12950,11305,29249
02024,Casas-Ibáñez,0202401,2018,9373,24164,14084,12250,10774,27777
02024,Casas-Ibáñez,0202401,2017,8704,22558,13079,11550,9989,25887
02024,Casas-Ibáñez,0202401,2016,8446,22053,12697,10850,9673,25255
02024,Casas-Ibáñez,0202401,2015,8295,21709,12436,10850,9441,24708
02024,Casas-Ibáñez,0202402,2022,11119,26119,16085,14350,12809,30091
02024,Casas-Ibáñez,0202402,2021,10234,24409,14949,13650,11810,28168
02024,Casas-Ibáñez,0202402,2020,9762,24135,14307,12950,11104,27454
02024,Casas-Ibáñez,0202402,2019,9851,24348,14584,12950,11298,27926
02024,Casas-Ibáñez,0202402,2018,9239,23353,13579,11550,10561,26693
02024,Casas-Ibáñez,0202402,2017,8687,21704,12908,10850,9939,24831
02024,Casas-Ibáñez,0202402,2016,8316,21267,12281,10150,9414,24075
02024,Casas-Ibáñez,0202402,2015,8148,20879,11945,9450,9206,23588
02025,Caudete,0202501,2022,10690,26973,16034,15050,12397,31279
02025,Caudete,0202501,2021,10126,25643,15180,13650,11708,29650
02025,Caudete,0202501,2020,9763,24715,14639,12950,11233,28436
02025,Caudete,0202501,2019,9553,24469,14323,12950,10981,28126
02025,Caudete,0202501,2018,9123,23371,13673,12250,10484,26860
02025,Caudete,0202501,2017,8603,22191,12884,11550,9871,25464
02025,Caudete,0202501,2016,8285,21528,12463,11550,9443,24536
02025,Caudete,0202501,2015,7924,20539,11946,10850,9017,23372
02026,Cenizate,0202601,2022,9522,25393,14555,13650,10685,28494
02026,Cenizate,0202601,2021,8895,24051,13660,12950,9946,26894
02026,Cenizate,0202601,2020,8296,22698,12832,11550,9216,25216
02026,Cenizate,0202601,2019,8235,22723,12608,10850,9093,25091
02026,Cenizate,0202601,2018,7373,20494,11443,10150,8105,22530
02026,Cenizate,0202601,2017,6696,18598,10483,9450,7369,20467
